Date,Power655
7-2-2019,20-27-28-32-47-50-41
9-2-2019,02-14-15-44-46-50-18
12-2-2019,01-12-17-34-48-49-47
14-2-2019,08-15-26-41-43-53-46
16-2-2019,05-08-14-28-37-40-41
19-2-2019,12-18-22-29-32-52-51
21-2-2019,03-10-11-15-29-34-50
23-2-2019,16-19-30-39-43-52-21
26-2-2019,08-09-16-34-42-43-45
28-2-2019,04-15-19-34-40-42-49
2-3-2019,01-02-03-20-46-48-31
5-3-2019,01-15-23-51-53-55-26
7-3-2019,02-14-20-33-41-47-27
9-3-2019,18-24-31-34-35-44-52
12-3-2019,09-16-26-34-44-49-19
14-3-2019,18-21-25-35-44-53-04
16-3-2019,10-18-22-24-35-40-53
19-3-2019,08-28-32-35-40-45-34
21-3-2019,07-18-32-42-46-53-28
23-3-2019,03-09-30-41-46-52-22
26-3-2019,15-19-28-40-44-48-14
28-3-2019,03-23-37-43-44-49-27
30-3-2019,03-15-18-35-50-54-32
2-4-2019,01-04-09-20-22-26-48
4-4-2019,16-26-29-38-47-51-13
6-4-2019,01-20-30-41-46-50-48
9-4-2019,10-14-19-36-48-49-03
11-4-2019,01-08-31-32-37-55-53
13-4-2019,09-13-20-21-36-43-32
16-4-2019,16-29-32-33-52-53-05
18-4-2019,07-08-15-24-26-48-10
20-4-2019,08-10-12-24-40-44-51
23-4-2019,20-21-22-31-43-45-30
25-4-2019,16-22-23-33-36-38-45
27-4-2019,01-11-22-26-33-51-04
30-4-2019,03-05-13-40-41-45-52
2-5-2019,02-10-16-17-33-36-20
4-5-2019,01-02-03-17-26-53-50
7-5-2019,03-06-07-08-09-49-24
9-5-2019,19-21-48-49-54-55-27
11-5-2019,06-11-20-22-26-28-36
14-5-2019,06-11-15-21-30-40-10
16-5-2019,08-28-30-33-40-43-24
18-5-2019,06-10-13-18-29-38-53
21-5-2019,11-12-29-31-37-53-41
23-5-2019,13-21-33-42-53-55-44
25-5-2019,04-12-35-44-50-55-19
28-5-2019,15-22-31-32-33-37-51
30-5-2019,17-31-33-34-37-40-35
1-6-2019,10-24-31-41-42-47-20
4-6-2019,18-20-24-26-33-41-55
6-6-2019,10-13-30-36-51-54-16
8-6-2019,02-08-10-23-27-35-47
11-6-2019,02-05-13-20-30-49-35
13-6-2019,06-09-15-22-29-53-25
15-6-2019,13-23-40-45-52-55-09
18-6-2019,24-31-45-46-47-54-04
20-6-2019,09-15-23-41-49-51-52
22-6-2019,01-09-23-28-42-54-49
25-6-2019,03-14-34-35-40-49-23
27-6-2019,09-29-32-44-49-53-05
29-6-2019,06-10-19-31-34-43-37
2-7-2019,02-09-33-45-52-54-01
4-7-2019,04-05-14-46-52-54-03
6-7-2019,05-29-36-39-46-53-48
9-7-2019,04-17-25-40-42-51-02
11-7-2019,06-09-15-26-35-38-34
13-7-2019,05-23-29-45-50-52-01
16-7-2019,04-12-19-31-33-40-51
18-7-2019,04-24-29-31-39-41-38
20-7-2019,15-18-25-32-42-52-10
23-7-2019,05-10-21-32-39-52-41
25-7-2019,03-31-34-41-52-53-16
27-7-2019,02-03-25-33-44-50-17
30-7-2019,03-08-12-21-32-51-07
1-8-2019,01-18-39-45-48-49-26
3-8-2019,13-24-25-26-27-30-04
6-8-2019,09-11-19-20-26-42-17
8-8-2019,01-06-17-18-21-41-22
10-8-2019,07-17-36-42-43-50-44
13-8-2019,04-08-16-27-32-40-23
15-8-2019,19-25-31-32-39-47-08
17-8-2019,09-11-24-26-38-53-41
20-8-2019,10-30-38-48-54-55-46
22-8-2019,04-07-16-17-30-39-27
24-8-2019,19-20-34-40-49-51-01
27-8-2019,16-22-29-33-46-47-55
29-8-2019,10-11-12-23-27-48-09
31-8-2019,13-20-23-32-51-52-42
3-9-2019,13-14-29-35-41-55-25
5-9-2019,20-24-27-30-33-45-21
7-9-2019,07-17-31-35-38-46-16
10-9-2019,06-09-19-39-50-54-37
12-9-2019,18-29-32-33-45-49-40
14-9-2019,10-36-42-44-45-54-14
17-9-2019,03-14-26-38-43-47-10
19-9-2019,02-08-22-34-39-41-13
21-9-2019,02-05-23-30-42-45-34
24-9-2019,12-33-39-40-48-53-35
26-9-2019,07-12-38-43-51-55-15
28-9-2019,04-08-21-23-40-43-44
1-10-2019,05-22-38-41-47-49-29
3-10-2019,04-07-08-26-37-44-29
5-10-2019,10-29-30-31-37-51-50
8-10-2019,08-36-39-43-48-50-40
10-10-2019,04-17-42-51-53-55-29
12-10-2019,21-39-48-51-53-55-05
15-10-2019,09-12-29-46-48-53-03
17-10-2019,05-11-14-34-51-53-16
19-10-2019,01-10-21-26-42-43-25
22-10-2019,02-16-26-27-36-40-31
24-10-2019,09-14-23-41-45-50-13
26-10-2019,18-20-22-50-51-53-35
29-10-2019,12-15-16-31-43-55-11
31-10-2019,18-19-22-37-47-48-46
2-11-2019,02-15-34-35-48-50-32
5-11-2019,03-06-16-17-44-50-28
7-11-2019,01-12-19-37-44-52-18
9-11-2019,01-03-06-25-29-41-12
12-11-2019,10-17-24-27-36-39-33
14-11-2019,09-12-16-36-41-55-35
16-11-2019,06-08-18-22-49-52-10
19-11-2019,19-21-33-35-38-40-04
21-11-2019,21-24-35-38-42-47-34
23-11-2019,07-29-30-45-50-55-15
26-11-2019,07-19-38-41-42-47-04
28-11-2019,01-18-26-28-53-55-14
30-11-2019,08-09-10-32-44-50-15
3-12-2019,21-29-36-41-50-52-42
5-12-2019,09-11-16-27-35-40-51
7-12-2019,07-18-38-42-47-51-08
10-12-2019,05-20-33-42-43-49-26
12-12-2019,01-09-15-42-49-50-48
14-12-2019,03-30-33-34-40-47-26
17-12-2019,04-05-14-19-22-37-43
19-12-2019,18-22-25-28-29-34-50
21-12-2019,05-08-20-34-37-42-51
24-12-2019,03-16-30-34-50-55-48
26-12-2019,05-06-12-18-23-54-26
28-12-2019,10-17-26-28-29-32-21
31-12-2019,02-22-26-28-44-55-27
2-1-2020,12-14-26-29-33-40-50
4-1-2020,04-14-26-42-44-55-48
7-1-2020,08-11-16-22-42-54-13
9-1-2020,17-20-21-29-52-54-51
11-1-2020,08-11-17-19-25-47-53
14-1-2020,03-04-17-39-50-51-53
16-1-2020,10-11-26-33-44-46-55
18-1-2020,13-18-19-23-32-43-11
21-1-2020,14-31-45-47-52-54-13
23-1-2020,09-15-18-25-31-49-46
28-1-2020,01-20-24-33-40-55-46
30-1-2020,12-18-28-30-47-50-41
1-2-2020,02-03-11-23-35-54-06
4-2-2020,06-10-20-47-52-55-46
6-2-2020,13-18-34-36-45-49-37
8-2-2020,09-12-19-25-41-54-38
11-2-2020,04-14-18-21-32-53-02
13-2-2020,25-28-32-34-35-39-07
15-2-2020,26-36-37-38-42-49-46
18-2-2020,27-32-36-37-47-48-50
20-2-2020,01-03-20-33-36-51-49
22-2-2020,07-24-32-49-51-54-44
25-2-2020,05-13-21-36-39-48-06
27-2-2020,03-11-21-29-47-55-50
29-2-2020,09-17-23-26-51-54-32
3-3-2020,14-15-31-40-43-49-12
5-3-2020,08-09-34-40-41-54-13
7-3-2020,05-11-21-30-40-48-20
10-3-2020,23-25-30-36-45-52-53
12-3-2020,02-14-19-24-27-34-48
14-3-2020,12-20-25-38-39-40-37
17-3-2020,01-14-18-43-49-50-08
19-3-2020,03-35-41-42-43-49-31
21-3-2020,10-12-14-17-29-53-25
24-3-2020,03-09-20-21-33-52-50
26-3-2020,07-08-11-31-35-36-45
28-3-2020,01-10-11-13-27-55-19
31-3-2020,12-19-40-41-43-53-23
25-4-2020,04-18-24-30-53-55-13
28-4-2020,04-06-10-16-30-46-34
30-4-2020,12-31-32-33-39-41-14
2-5-2020,02-06-09-16-43-53-19
5-5-2020,01-04-13-15-18-20-22
7-5-2020,09-19-28-30-32-54-22
9-5-2020,18-19-30-39-45-46-11
12-5-2020,01-08-25-34-38-44-28
14-5-2020,07-23-29-47-51-55-12
16-5-2020,19-35-38-49-52-55-01
19-5-2020,05-15-16-19-49-55-03
21-5-2020,02-15-22-25-30-46-10
23-5-2020,04-13-27-47-50-55-31
26-5-2020,11-12-23-24-34-47-43
28-5-2020,01-04-08-21-44-49-52
30-5-2020,12-13-41-42-48-53-20
2-6-2020,04-19-31-42-48-55-22
4-6-2020,06-12-16-34-39-54-19
6-6-2020,08-12-24-32-35-51-21
9-6-2020,01-03-08-22-42-48-44
11-6-2020,03-21-25-32-35-52-34
13-6-2020,07-09-11-30-43-53-10
16-6-2020,02-15-16-23-33-54-45
18-6-2020,05-18-27-45-50-54-09
20-6-2020,05-09-33-43-44-50-46
23-6-2020,02-18-28-46-52-54-19
25-6-2020,09-10-12-19-27-40-55
27-6-2020,02-06-38-47-50-53-14
30-6-2020,05-11-18-19-20-21-52
2-7-2020,04-10-20-38-48-53-05
4-7-2020,03-09-10-18-29-45-36
7-7-2020,07-24-32-35-48-50-01
9-7-2020,03-10-11-17-26-54-21
11-7-2020,03-04-06-14-20-38-35
14-7-2020,05-22-32-34-43-51-12
16-7-2020,02-05-11-20-24-32-06
18-7-2020,03-13-22-28-30-53-16
21-7-2020,06-14-31-37-38-44-04
23-7-2020,04-12-31-47-49-52-02
25-7-2020,02-19-21-34-54-55-24
28-7-2020,03-11-20-34-44-54-16
30-7-2020,06-07-16-26-29-54-04
1-8-2020,13-18-29-30-40-47-04
4-8-2020,10-15-20-21-32-51-08
6-8-2020,02-05-21-24-26-27-11
8-8-2020,03-12-24-26-36-43-08
11-8-2020,02-12-33-39-52-53-44
13-8-2020,03-25-28-44-49-54-19
15-8-2020,01-11-29-30-41-51-04
18-8-2020,22-41-44-46-51-52-02
20-8-2020,14-18-28-32-33-36-41
22-8-2020,01-20-24-26-35-51-12
25-8-2020,21-35-36-38-44-47-14
27-8-2020,------
29-8-2020,01-04-14-28-35-53-02
1-9-2020,11-22-24-47-49-53-03
3-9-2020,07-09-18-22-35-54-50
5-9-2020,09-12-19-22-31-46-20
8-9-2020,22-47-48-52-53-55-14
10-9-2020,18-25-27-37-45-50-52
12-9-2020,20-21-24-30-31-44-40
15-9-2020,13-14-15-17-26-53-21
17-9-2020,01-05-28-43-44-53-49
19-9-2020,04-07-08-29-31-41-38
22-9-2020,05-08-15-18-36-45-06
24-9-2020,12-28-41-42-52-53-50
26-9-2020,07-10-13-15-40-48-01
29-9-2020,01-06-07-13-30-55-34
1-10-2020,03-06-07-19-38-54-50
3-10-2020,12-14-22-23-39-44-28
6-10-2020,11-14-29-32-33-40-35
8-10-2020,10-18-20-21-26-51-52
10-10-2020,05-10-47-50-53-54-22
13-10-2020,12-19-28-29-52-53-20
15-10-2020,08-38-41-47-50-52-45
17-10-2020,03-14-25-37-49-54-53
20-10-2020,08-33-38-47-49-54-31
22-10-2020,02-03-12-21-24-38-14
24-10-2020,12-21-22-27-41-50-34
27-10-2020,03-31-33-36-38-39-08
29-10-2020,09-11-14-16-21-23-54
31-10-2020,08-18-19-20-43-54-50
3-11-2020,02-22-27-46-48-52-23
5-11-2020,01-02-06-18-34-51-52
7-11-2020,12-28-30-33-45-52-15
10-11-2020,02-05-19-39-48-53-06
12-11-2020,04-20-22-25-43-47-12
14-11-2020,05-11-15-34-44-48-35
17-11-2020,06-17-27-34-36-51-48
19-11-2020,12-15-23-28-45-48-43
21-11-2020,08-14-19-20-49-51-28
24-11-2020,04-07-19-20-22-53-23
26-11-2020,18-19-29-31-36-52-50
28-11-2020,01-20-36-36-45-49-52
1-12-2020,06-10-12-24-34-43-15
3-12-2020,05-19-32-41-42-45-17
5-12-2020,10-28-29-30-37-38-36
8-12-2020,02-17-32-33-38-45-37
10-12-2020,03-31-34-36-44-54-45
12-12-2020,03-14-32-36-41-46-54
15-12-2020,10-11-13-35-38-49-14
17-12-2020,15-25-27-35-40-48-45
19-12-2020,14-20-32-34-37-49-31
22-12-2020,10-11-16-29-35-38-03
24-12-2020,11-19-34-41-44-48-43
26-12-2020,01-24-33-41-43-51-48
29-12-2020,04-08-11-15-17-41-23
31-12-2020,02-15-25-27-37-51-53
2-1-2021,07-19-23-26-35-45-11
5-1-2021,05-07-09-22-42-54-47
7-1-2021,07-11-22-38-48-51-53
9-1-2021,10-19-24-29-46-48-05
12-1-2021,19-23-29-34-44-53-35
14-1-2021,01-04-42-44-46-50-09
16-1-2021,13-15-29-32-38-44-49
19-1-2021,05-22-25-43-48-53-18
21-1-2021,09-20-22-31-47-52-18
23-1-2021,12-31-39-41-45-55-34
26-1-2021,07-16-32-42-44-47-35
28-1-2021,03-04-16-34-40-55-02
30-1-2021,02-07-17-18-21-29-19
2-2-2021,04-13-31-36-40-54-30
4-2-2021,28-43-44-50-51-53-13
6-2-2021,06-22-32-33-35-53-12
9-2-2021,15-20-21-29-31-41-34
13-2-2021,03-11-14-31-34-42-24
16-2-2021,04-10-11-21-23-44-50
18-2-2021,02-05-10-22-26-47-53
20-2-2021,01-02-04-32-34-39-20
23-2-2021,16-19-21-23-30-48-06
25-2-2021,09-19-32-40-45-51-01
27-2-2021,06-11-24-30-50-52-22
2-3-2021,23-29-45-46-49-51-01
4-3-2021,02-09-21-23-33-41-45
6-3-2021,18-24-34-39-46-55-04
9-3-2021,15-18-29-35-47-54-20
11-3-2021,04-05-12-25-43-44-27
13-3-2021,07-19-20-23-36-55-09
16-3-2021,03-31-45-46-49-54-40
18-3-2021,17-24-38-41-46-54-51
20-3-2021,16-18-20-25-35-36-17
23-3-2021,09-13-17-33-34-53-31
25-3-2021,19-20-24-29-36-39-22
27-3-2021,05-11-17-20-26-37-12
30-3-2021,02-11-17-19-47-51-22
1-4-2021,13-18-24-34-38-54-08
3-4-2021,02-04-34-38-41-55-19
6-4-2021,27-33-34-38-46-48-05
8-4-2021,08-11-16-22-28-30-45
10-4-2021,12-13-16-17-27-47-49
13-4-2021,25-33-39-45-49-55-36
15-4-2021,05-08-27-42-47-51-36
17-4-2021,04-15-16-29-42-46-36
20-4-2021,18-25-38-43-47-51-11
22-4-2021,05-11-17-25-39-48-22
24-4-2021,01-04-05-21-25-44-45
27-4-2021,03-09-22-26-32-37-41
29-4-2021,03-09-23-33-42-44-50
1-5-2021,03-07-14-22-41-42-10
4-5-2021,07-24-45-48-49-53-14
6-5-2021,15-19-24-31-44-53-32
8-5-2021,14-23-26-37-42-51-40
11-5-2021,01-14-41-44-46-53-48
13-5-2021,13-24-25-35-39-41-29
15-5-2021,01-05-06-13-23-27-46
18-5-2021,06-07-22-32-38-47-27
20-5-2021,07-10-12-19-42-54-24
22-5-2021,15-27-37-45-46-52-31
25-5-2021,06-10-33-35-36-43-08
27-5-2021,03-07-18-22-40-46-14
29-5-2021,02-11-31-37-43-55-14
1-6-2021,06-12-14-27-43-45-38
3-6-2021,04-08-21-24-26-47-43
5-6-2021,14-22-25-39-41-52-17
8-6-2021,16-28-33-41-42-54-12
10-6-2021,11-22-24-27-43-54-45
12-6-2021,04-16-17-20-27-41-30
15-6-2021,11-18-21-22-30-55-35
17-6-2021,18-23-38-41-44-55-40
19-6-2021,01-03-07-13-28-45-33
22-6-2021,03-09-32-33-41-43-40
24-6-2021,03-16-17-24-41-44-37
26-6-2021,06-16-17-20-49-52-27
29-6-2021,05-14-24-36-44-55-48
1-7-2021,04-15-28-30-49-52-55
3-7-2021,04-25-30-38-50-55-53
6-7-2021,17-20-22-24-30-54-51
8-7-2021,03-32-34-42-44-54-35
10-7-2021,07-08-17-37-47-48-27
13-7-2021,05-11-18-27-34-43-42
15-7-2021,03-04-12-16-30-50-20
17-7-2021,02-07-11-21-31-42-45
20-7-2021,02-08-11-13-17-26-53
22-7-2021,02-20-24-39-46-53-55
19-8-2021,05-09-12-20-43-51-13
21-8-2021,22-24-27-37-38-48-14
24-8-2021,02-04-07-18-30-35-20
26-8-2021,11-13-20-51-53-55-04
28-8-2021,10-16-26-27-34-48-51
31-8-2021,07-20-37-47-51-53-05
2-9-2021,01-08-12-26-28-45-43
4-9-2021,11-12-32-42-43-51-31
7-9-2021,19-30-35-43-47-55-12
9-9-2021,06-08-10-23-39-44-43
11-9-2021,08-17-20-36-39-44-30
14-9-2021,17-22-30-40-43-44-41
16-9-2021,10-16-40-43-45-46-22
18-9-2021,03-14-15-21-47-52-54
21-9-2021,15-24-25-40-42-50-49
23-9-2021,06-07-21-25-27-49-26
25-9-2021,07-20-27-43-48-51-37
28-9-2021,07-22-25-40-49-50-37
30-9-2021,18-23-26-32-46-49-54
2-10-2021,05-06-22-26-49-51-32
5-10-2021,11-16-17-19-38-43-24
7-10-2021,06-15-21-24-45-55-46
9-10-2021,01-22-25-38-39-54-19
12-10-2021,14-17-31-33-42-50-40
14-10-2021,09-21-24-30-41-44-40
16-10-2021,09-17-22-28-50-55-07
19-10-2021,03-09-25-29-46-50-18
21-10-2021,03-19-32-36-41-51-35
23-10-2021,05-11-19-26-28-33-09
26-10-2021,21-24-29-34-39-53-20
28-10-2021,02-04-06-13-31-35-16
30-10-2021,31-36-40-44-50-53-11
2-11-2021,37-38-42-46-47-55-23
4-11-2021,05-10-15-31-32-50-28
6-11-2021,23-31-41-48-49-51-03
9-11-2021,12-25-26-47-51-53-16
11-11-2021,03-35-37-41-45-49-31
13-11-2021,18-22-29-33-46-48-37
16-11-2021,08-19-27-34-46-51-02
18-11-2021,18-30-32-37-39-40-10
20-11-2021,06-10-29-30-31-51-35
23-11-2021,05-07-09-28-38-55-50
25-11-2021,16-18-24-29-33-41-43
27-11-2021,02-05-07-21-31-37-44
30-11-2021,12-21-23-28-33-46-38
2-12-2021,06-23-28-31-44-48-14
4-12-2021,07-09-31-32-36-49-37
7-12-2021,04-06-22-32-34-53-41
9-12-2021,03-14-33-40-41-50-17
11-12-2021,08-13-17-22-42-51-45
14-12-2021,10-16-19-24-39-50-29
16-12-2021,19-24-30-41-43-49-55
18-12-2021,04-06-19-26-38-41-16
21-12-2021,23-25-28-49-52-54-44
23-12-2021,08-22-29-43-45-54-23
25-12-2021,06-08-23-25-33-35-27
28-12-2021,03-08-09-40-44-48-02
